Ayeyarwaddy Region
is the second most populated region in Myanmar. Its postal codes / zipcodes. Myanmar are mentioned below.

ဧရာဝတီတိုင်း ဒေသကြီး စာပို့သင်္ကေတများ
Township	Postal Code	မြို့နယ်	Towns
Ahmar	10311	ဘိုကလေး	Ahmar
Bogalay	10231	 	Bogalay
Bogalay	10233	 	Kadonkane
Bogalay	10232	 	Myinkakone
Bogalay	-	 	Satsu
Danubyu	10151	ဓနုဖြူ	Danubyu
Danubyu	10153	 	Kyonetanee
Danubyu	10154	 	Sankin
Danubyu	10152	 	Zakargyi
Dedaye	10261	ဒေးဒရဲ	Dedaye
Dedaye	-	 	Mayan
Dedaye	10262	 	Suukalap
Einme	10191	အိမ်မဲ	Einme
Einme	-	 	Thayetgone
Einme	-	 	Ywathit
Hainggyi	10324	ဟိုင်းကြီး	Chaungwa
Hainggyi	10321	 	Hainggyi
Hainggyi	10323	 	Kyonekuu
Hainggyi	10322	 	Pyinkhayaing
Hainggyi	-	 	Thatkalthaung
Hainggyi	-	 	Thinkankone
Hinthada	10062	ဟင်္သာတ	Dambi
Hinthada	-	 	Duya
Hinthada	10064	 	G.T.C (Hinthada)
Hinthada	10061	 	Hinthada
Hinthada	10063	 	HinthadaUniversity
Hinthada	10065	 	Nateban
Hinthada	10066	 	Nathmaw
Hinthada	10067	 	Phayargone
Hinthada	10069	 	Sharkhe
Hinthada	-	 	Talotehtaw
Hinthada	10068	 	Yonethalin
Ingabu	10057	အင်္ဂပူ	Chaukywar
Ingabu	-	 	Htantabin
Ingabu	10052	 	Htugyi
Ingabu	10051	 	Ingabu
Ingabu	-	 	Kanyinngu
Ingabu	10054	 	Kwingauk
Ingabu	10053	 	Mezalegone
Ingabu	10055	 	Nyaungkyo
Ingabu	-	 	Thitpyuchaung
Ingabu	-	 	Thonekwinsai
Ingabu	10056	 	Zaungtan
Kangyidaung	10022	ကန်ကြီးထောင့်	Daka
Kangyidaung	10021	 	Kangyidaung
Kangyidaung	10023	 	Kanywa
Kangyidaung	-	 	Maungteegyi
Kangyidaung	-	 	Myinkaseik
Kyaiklat	10241	ကျိုက်လတ်	Kyaiklat
Kyaiklat	10242	 	Yonedaunt
Kyangin	10032	ကြံခင်း	Batye
Kyangin	-	 	Seiktha
Kyankhin	10031	 	Kyankhin
Kyaunggone	-	ကျောင်းကုန်း	Daunggyi
Kyaunggone	-	 	Hleseik
Kyaunggone	10101	 	Kyaunggone
Kyonepyaw	10092	ကျုံပျော်	Ahhtaung
Kyonepyaw	-	 	Dikepyet
Kyonepyaw	10091	 	Kyonepyaw
Kyonepyaw	10093	 	Thaunggyi
Labutta	10123	လပွတ္တာ	Betutkalay
Labutta	10124	 	Kanbat
Labutta	10125	 	Kyarkan
Labutta	10121	 	Labutta
Labutta	10122	 	Thoneminemyothit
Labutta	-	 	Toomyaung
Laymyethnar	10072	လေးမျက်နှာ	Ai Tha Byu
Laymyethnar	10073	 	Khamoutsu
Laymyethnar	10071	 	Laymyethnar
Maubin	10185	မအူပင်	Kyonesoke
Maubin	10187	 	Kywe Done
Maubin	10188	 	Layainzu
Maubin	10181	 	Maubin
Maubin	10184	 	Maubin University
Maubin	10182	 	Shwetaunghmaw
Maubin	10186	 	Sitchaung
Maubin	-	 	Tartapaw
Maubin	10183	 	Yelaekalay
Mawlamyaing gyun	10122	 	Hlaingbone
Mawlamyainggyun	10221	 	Mawlamyainggyun
Mawlamyainggyun	-	 	Zotekani
Myanaung	10043	မြန်အောင်	Innbin
Myanaung	10042	 	Kanaung
Myanaung	10041	 	Myanaung
Myanaung	10044	 	Ngapiseik
Myanaung	10045	 	Shwekyin
Myanaung	-	 	Taegyigone
Myanaung	-	 	Thapyaygone
Myaungmya	10213	မြောင်းမြ	Jute Factory
Myaungmya	10211	 	Myaungmya
Myaungmya	10212	 	Pyinywa
Myaungmya	10215	 	Sagarmyar
Myaungmya	10214	 	Yetwinyekan
Myawlamyainggyun	10223	မော်လမြိုင်ကျွန်း	Kyeikpi
Ngaputaw	-	ငပုတော	Ahtetpyon
Ngaputaw	10131	 	Ngaputaw
Ngaputaw	-	 	Taungkalay
Ngaputaw	-	 	Thonegwa
Ngathaingchaung	10291	 	Ngathaingchaung
Ngayokekaung	10301	 	Ngayokekaung
Ngwesaung	10271	 	Ngwesaung
Ngwesaung	10272	 	Sinma
Nyaungtone	10162	ညောင်တုန်း	Chaunggyi
Nyaungtone	10163	 	Mezale
Nyaungtone	10161	 	Nyaungtone
Nyaungtone	10164	 	Sarmalout
Pantanaw	10172	ပန်းတနော်	Daunggyi
Pantanaw	-	 	Mintasu
Pantanaw	10171	 	Pantanaw
Pathein	10016	ပုသိမ်	B.E.D
Pathein	10018	 	G.C.C (Pathein)
Pathein	10017	 	G.T.C (Pathein)
Pathein	10019	 	Kyitha
Pathein	10013	 	Myetto
Pathein	10011	 	Pathein
Pathein	10014	 	Pathein University
Pathein	10015	 	Pathein Shipyard
Pathein	10012	 	PatheinCantonment
Pathein	-	 	Shawpyar
Pyapon	-	ဖျာပုံ	Dawnyein
Pyapon	-	 	Kani
Pyapon	10254	 	Kyatphamhwezoung
Pyapon	10252	 	Kyonekadon
Pyapon	10251	 	Pyapon
Pyapon	10253	 	Thamainhtaw
Pyinsalu	10331	 	Pyinsalu
Shwethaungyan	10282	 	Chaungtha
Shwethaungyan	10281	 	Shwethaungyan
Thabaung	10112	သာပေါင်း	Phayargone
Thabaung	-	 	Sethtaunggyi
Thabaung	10111	 	Thabaung
Thabaung	-	 	Zeepyukwin
Warkema	10202	ဝါးခယ်မ	Kyonmange
Warkema	10204	 	Kyungone
Warkema	10203	 	Shwelaung
Warkema	10201	 	Warkema
Yegyi	10082	ရေကြည်	Ahthoke
Yegyi	10084	 	Ngapiseik
Yegyi	10083	 	Thidakongpyin
Yekyi	-	 	Kanni
Yekyi	-	 	Kwinyar
Yekyi	10081	 	Yekyi
Yekyi	10086	 	Yodayartet
Yekyi	10085	 	Zayathla
Zalun	10142	ဇလွန်	Daunggyi
Zalun	10141	 	Zalun
