Bago Region Postal Codes / Zipcodes, Myanmar
ပဲခူးတိုင်း ဒေသကြီး စာပို့ သင်္ကေတများ
Bago used to be the capital of the 2nd Myanmar Empire, and well-known sea-port of the country. People as far as those in Europe knew and had trade relations with Bago for the past 500 years.

Township 	Postal Code	မြို့နယ်	Town
Bago 	08018	ပဲခူး	Bago Collage 
Bago 	08011	 	Bago 
Bago 	08015	 	Htongyi 
Bago 	08016	 	Inntakaw 
Bago 	08063	 	Katoke 
Bago 	08014	 	Kyauktan 
Bago 	08017	 	Oakthamyothit 
Bago 	08013	 	Phayagyi 
Bago 	08012	 	Pyinpongyi 
Bago 	08084	 	Tarwayedagar 
Bago 	08019	 	Thayaaye 
Deiku 	08064	ဒိုက်ဦး	Ayethukha 
Deiku 	08061	 	Deiku 
Deiku 	- 	 	Paaungwe 
Deiku 	08062	 	Phaungdawthi 
Deiku 	- 	 	Thongwa 
Gyobingauk 	08231	ကြို့ပင်ကောက်	Gyobingauk 
Gyobingauk 	- 	 	Khunitywa 
Htantabin 	08131	ထန်းတပင်	Htantabin 
Htantabin 	- 	 	Kinpunchone 
Htantabin 	- 	 	Natywa 
Htantabin 	- 	 	Ohnpin 
Htantabin 	- 	 	Thayet tan 
Htantabin 	08132	 	Zayatgyi 
Kawa 	08091	ကဝ	Kawa 
Kawa 	08093	 	Ohnnhe 
Kawa 	08094	 	Thatgala 
Kyaukgyi 	08041	ကျောက်ကြီး	Kyaukgyi 
Kyaukgyi 	08143	 	Mone 
Kyaukgyi 	08042	 	Natthankwin 
Kyauktagar 	08021	ကျောက်တံခါး	Kyauktagar 
Kyauktagar 	08023	 	Penwegone 
Kyauktagar 	08024	 	Phado 
Kyauktagar 	08022	 	Tawkyweinn 
Kyauktagar 	08025	 	Thahtaygone 
Letpadan 	08274	လက်ပံတန်း	Khamonsake 
Letpadan 	08271	 	Letpadan 
Letpadan 	- 	 	Nyaungwine 
Letpadan 	08273	 	Tharawaw 
Letpadan 	08272	 	Zeephyugone 
Minhla 	- 	မင်းလှ	Hsin-I 
Minhla 	08261	 	Minhla 
Minhla 	08262	 	Sitkwin 
Minhla 	- 	 	Thayargone 
Moenyo 	08243	မိုးညို	Htaintaw 
Moenyo 	08241	 	Moenyo 
Moenyo 	08244	 	Pathtaw 
Moenyo 	08242	 	Yaekin 
Nattalin 	08214	နတ်တလင်း	Damange 
Nattalin 	08211	 	Nattalin 
Nattalin 	08212	 	Tarpon 
Nattalin 	08213	 	Taungnyo 
Nyaunglaybin 	08031	ညောင်လေးပင်	Nyaunglaybin 
Nyaunglaybin 	08032	 	Painzalote 
Nyaunglaybin 	- 	 	Pazunmyaung 
Nyaunglaybin 	08034	 	Pyuntansar 
Nyaunglaybin 	- 	 	Tawwi 
