Chin State Postal Codes / Zip codes, Myanmar
ချင်းပြည်နယ် စာပို့ သင်္ကေတ အမှတ်များ 
Chin State is 1 of the most beautiful and mountaneous state of Myanmar. Ethnic cultural interests are the most attrative things for tourists to visit Chin State.

Township 	Postal Code	မြို့နယ်	Town
Falam 	03031	ဖလမ်း	Falam 
Falam 	03033	 	Reed 
Falam 	03032	 	Loneban 
Falam 	03034	 	Ramkala 
Falam 	03035	 	Kalawmon 
Falam 	- 	 	Thibwar 
Falam 	- 	 	Lonpee 
Hakah 	03012	ဟားခါး	Su-Khua 
Hakah 	03013	 	Zokwar 
Hakah 	03014	 	Satter 
Hakah 	03015	 	Khonkyone 
Hakah 	03016	 	Thinan 
Hakah 	03017	 	Darochain 
Hakah 	- 	 	Thiphu 
Hakha 	03011	 	Hakha 
Htantalan 	03021	ထန်တလန်	Htantalan 
Htantalan 	03022	 	Hnarain 
Htantalan 	03023	 	Thikee 
Htantalan 	03024	 	Faroom 
Htantalan 	03025	 	Harainkhan 
Htantalan 	- 	 	Hmongtalan 
Htantalan 	- 	 	Lonlae' 
Htantalan 	- 	 	Harifee 
Kanpetlat 	03081	ကန်ပက်လက်	Kanpetlat 
Kanpetlat 	03082	 	Shinbaung 
Kanpetlat 	- 	 	Kyindwe 
Matupi 	03061	မတူပီ	Matupi 
Matupi 	03062	 	Rezwa 
Matupi 	03063	 	Lailanpi 
Matupi 	03065	 	Sabaung the 
Matupi 	03064	 	Oakka 
Matupi 	- 	 	Zarlhtaung 
Matupi 	- 	 	Lonngon 
Mindat 	03071	မင်းတပ်	Mindat 
Mindat 	03072	 	Dokeywar 
Mindat 	03073	 	Makweinnuu 
Mindat 	03074	 	Mamata 
Mindat 	03075	 	Aukchang 
Mindat 	- 	 	Ro 
Mindat 	- 	 	Kyunnar 
Teetain 	03041	တီးတိန်	Teetain 
Teetain 	03044	 	Kalay University 
Teetain 	03042	 	Htotehlaing 
Teetain 	03043	 	Kattel 
Teetain 	03045	 	Tweehtan 
Teetain 	03046	 	Saizang 
Teetain 	- 	 	Kyeinpikut 
Teetain 	- 	 	Laintwee 
Teetain 	- 	 	Haylay 
Teetain 	- 	 	Hmarbin 
Teetain 	- 	 	Hanking 
Tunzan 	03051	တွန်းဇန်	Tunzan 
Twinzan 	03052	 	Kyeekhar 
