Kachin State Postal Codes / Zipcodes. Myanmar
ကချင်ပြည်နယ် စာပို့သင်္ကေတများ
Kachin State is the Jade Capital of the world. It is the heart of the billion-dollar trade business of jade and jadaite, exporting throughout the world, but mostly through China.


Township	Postal Code	မြို့နယ်	Towns
Bhamaw 	1132	ဗန်းမော်	Bhamaw University 
Bhamaw 	1131	 	Bhamaw 
Bhamaw 	- 	 	Mammalin 
Bhamaw 	- 	 	Maubin 
Bhamaw 	- 	 	Shwekyeenar 
Chibwe 	1071	ချီ​ဖွေ	Chibwe 
Chibwe 	- 	 	Lawkhaung 
Chibwe 	1072	 	Panwar 
Ingyanyan 	1201	အင်ဂျန်းယန်	Ingyanyan 
Khaunglanphu 	1181	ခေါင်လန်ဖူး	Khaunglanphu 
Machanbaw 	1041	မချမ်းဘော	Machanbaw 
Mansi 	1141	မံစီ	Mansi 
Mansi 	1142	 	Manweingyi 
Mogaung 	- 	မိုးကောင်း	Kanhla 
Mogaung 	1106	 	Mayan 
Mogaung 	- 	 	Minkone 
Mogaung 	1103	 	Mogaung 
Mogaung 	1105	 	Nammana 
Mogaung 	1101	 	Namtee 
Mogaung 	1104	 	Pinbaw 
Mogaung 	1102	 	Sarhmaw 
Mogaung 	- 	 	Taungni 
Mohnyin 	- 	မိုးညှင်း	Belu 
Mohnyin 	- 	 	Chaungwa 
Mohnyin 	1112	 	Hopin 
Mohnyin 	- 	 	Kardu 
Mohnyin 	1117	 	Loneton 
Mohnyin 	1116	 	Mawhan 
Mohnyin 	1111	 	Mohnyin 
Mohnyin 	- 	 	Myothitkalay 
Mohnyin 	- 	 	Nankhwin 
Mohnyin 	1113	 	Nanmar 
Mohnyin 	1114	 	Nantmon 
Mohnyin 	1115	 	Nantsiaung 
Mohnyin 	- 	 	Nyaunggone 
Mohnyin 	- 	 	Pyinhae' 
Mohnyin 	- 	 	Ywathitgyi 
Momauk 	1153	မိုးမောက်	Dawphoneyan 
Momauk 	1154	 	Lwegel 
Momauk 	1151	 	Momauk 
Momauk 	1152	 	Myothit 
Momauk 	1155	 	Seinlonkabar 
Myitkyina 	1014	မြစ်ကြီးနား	Aungmyintha 
Myitkyina 	1013	 	Mankein 
Myitkyina 	1015	 	Mapakha 
Myitkyina 	1011	 	Myitkyina 
Myitkyina 	1012	 	Myitkyina University 
Myitkyina 	1017	 	Myothitgyi 
Myitkyina 	- 	 	Palana 
Myitkyina 	1018	 	Pyihtaung 
Myitkyina 	1016	 	Tarlawgyi 
Naungmon 	1031	နောင်မွန်း	Naungmon 
Naungmon 	1032	 	Pannandin 
Phakant 	1165	ဖားကန့်	Dunban 
Phakant 	1162	 	Karmine 
Phakant 	1164	 	Lonekhin 
Phakant 	1161	 	Phakant 
Phakant 	1163	 	Shaduzut 
Putao 	- 	ပူတာအို	Htarandan 
Putao 	- 	 	Mularshede 
Putao 	- 	 	Nankham 
Putao 	1052	 	Putao airport 
Putao 	1051	 	Putao 
Putao 	- 	 	Zeewon 
Sawlaw 	1171	ဆော့လော်	Sawlaw 
Shwegu 	- 	ရွှေကူ	Boegone 
Shwegu 	- 	 	Kyaukgyi 
Shwegu 	- 	 	Minkyaunggone 
Shwegu 	1122	 	Myohla 
Shwegu 	1121	 	Shwegu 
Shwegu 	1123	 	Sinkham 
Shwegu 	- 	 	Sitha 
Shwegu 	- 	 	Thapayhla 
Sinbo 	1191	 	Sinbo 
Sunpayabom 	1061	ဆွမ်ပရာဘွမ်	Sunpayabom 
Tanai 	1092	တနိုင်း	Shinbweyan 
Taning 	1091	 	Taning 
Waingmaw 	- 	ဝိုင်းမော်	Garyaryan 
Waingmaw 	1083	 	Kanbaiti 
Waingmaw 	1085	 	Khatcho 
Waingmaw 	1082	 	Sadone 
Waingmaw 	1081	 	Waingmaw 
Waingmaw 	1084	 	Warshaung 
