Kayah State Postal Codes / Zipcodes. Myanmar
ကယားပြည်နယ် စာပို့သင်္ကေတများ
Kayah State is the smallest state in Myanmar, but it has the most intersting ethnic tribes and cultures to look into.

 

Township 	Postal Code	မြို့နယ်	Towns
Bawlakhe 	09041	ဘောလခဲ	Bawlakhe 
Bawlakhe 	09042	 	Ywa Thit 
Demohso 	09021	ဒီးမော့ဆို	Demohso 
Demoso 	09022	 	Dawtamagyi 
Loikaw 	09012	လွိုင်ကော်	Lawpita 
Loikaw 	09013	 	Loikaw University 
Loikaw 	09011	 	Loikaw 
Loikaw 	09014	 	Loilenlay 
Meisei 	09061	မယ်စဲ	Meisei 
Pharuso 	09031	ဖရူဆို	Pharuso 
Phasaung 	09052	ဖားဆောင်း	Mawchee 
Phasaung 	09051	 	Phasaung 
Phiekon(Shan) 	09081	 	Pekin 
Shartaw 	09071	ရှားတော	Shartaw
