Magway Region Postal Codes / Zipcodes. Myanmar (Magwe Region)
မကွေးတိုင်း ဒေသကြီး စာပို့သင်္ကေတများ
 
Township	Post Code	မြို့နယ်	Towns
Aunglan	04151	အောင်လံ	Aunglan
Aunglan	04152	 	Kyawswa
Aunglan	-	 	Nyaungbinseik
Aunglan	04153	 	Pyalo
Aunglan	-	 	Shwepantaw
Chauk	04171	ချောက်	Chauk
Chauk	04174	 	Chauk (GTC)
Chauk	04175	 	Gwaybin
Chauk	04173	 	Gwaycho
Chauk	-	 	Gyine
Chauk	04176	 	Pakhanngwe
Chauk	04172	 	Salay
Chauk	-	 	Taungtar
Chauk	-	 	Twinlat
Chauk	-	 	Yeohsin
Gantgaw	04211	ဂန့်ဂေါ	Gantgaw
Gantgaw	04215	 	Hanthawaddy
Gantgaw	04214	 	Kanywa
Gantgaw	04212	 	Kyaw
Gantgaw	04216	 	Minywa
Gantgaw	-	 	Taungkhinyan
Htilin	-	 	Nyaungkan
Htilin	-	 	Saymintaw
Htilin	-	 	Yemyetni
Htilinn	04221	ထီးလင်း	Htilinn
Htilinn	04222	 	Kyin
Kanma	04111	ကံမ	Kanma (Thayet)
Kanma	04112	 	Kyobin
Kanma	-	 	Sitsayan
Kanma	04113	 	Yenantha
Magwe	04018	 	Basic Healt Unversity
Magwe	-	 	Chaing
Magwe	04011	မကွေး	Magwe
Magwe	04012	 	Magwe University
Magwe	04014	 	Michaungye
Magwe	-	 	Minywa
Magwe	04013	 	Myinkwon
Magwe	-	 	Nyaungkan
Magwe	04015	 	Thityarkauk
Magwe	04017	 	Thityarkauk (M.C)
Magwe	04016	 	Yanpae (Magwe)
Magwe	-	 	Yinseik
Minbu	-	 	Hmanhtaung
Minbu	-	 	Latpataw
Minbu	04025	 	Manyenanmyae
Minbu	04021	မင်းဘူး	Minbu
Minbu	04022	 	Minbuzay
Minbu	04023	 	Sagu
Minbu	-	 	Singaung
Minbu	-	 	Ywathaya
Mindonn	04101	မင်းတုန်း	Mindonn
Minhla	04073	 	Kantoke
Minhla	04072	 	Malon
Minhla	04071	မင်းလှ	Minhla (Thayet)
Minhla	-	 	Yenanma
Mintone	-	 	Kyaukgyi
Mintone	-	 	Myaukpyin
Myaing	-	 	Bahim
Myaing	-	 	Kaingtawma
Myaing	-	 	Kyauksouth
Myaing	-	 	Letyetma
Myaing	04192	 	Linkataw
Myaing	04191	မြိုင်	Myaing
Myothit	04132	 	Myolulin
Myothit	04131	မြို့သစ်	Myothit
Myothit	-	 	Tharhmar
Myothit	-	 	Wargyi-aing
Natmauk	04122	 	Innkan
Natmauk	04123	 	Layeain
Natmauk	04121	နတ်မောက်	Natmauk
Natmauk	04124	 	Shwepantaw
Natmauk	-	 	Ywamon
Ngape	-	 	Goatgyi
Ngape	04062	ငဖဲ	Padan
Ngape	-	 	Sinchitaing
Ngaphe	04061	 	Ngaphe
Pakokku	-	 	Innkan
Pakokku	04206	 	Kanma(PKU)
Pakokku	-	 	Kyaukhlaykhar
Pakokku	04204	 	Kyunchaung
Pakokku	-	 	Lanywa
Pakokku	04203	 	Myitchay
Pakokku	04201	ပခုက္ကူ	Pakokku
Pakokku	04202	 	Pakokku Myoma (Pakokku University)
Pakokku	04203	 	Warzi
Pauk	-	 	Chaungku
Pauk	04231	ပေါက်	Pauk
Pauk	04232	 	Yepyar
Pwintpyu	04032	 	Konezoung
Pwintpyu	04034	 	Kyaungtawya
Pwintpyu	04036	 	Laekaing
Pwintpyu	04035	 	Mezali
Pwintpyu	04031	ပွင့်ဖြူ	Pwintpyu
Pwintpyu	04033	 	Shaukttaw
Salinn	04045	 	Kanpyar
Salinn	04043	 	Linzinn
Salinn	04041	 	Salinn
Salinn	04042	စလင်း	Sinphyukyun
Salinn	04044	 	Tanyaung
Salinn	-	 	Zeephyubin
Saw	04242	 	Kyaukhtu
Saw	-	 	Kyee
Saw	04243	 	Laungshe
Saw	04241	ဆော	Saw
Saw	-	 	Tapyin
Saytoketaya	04051	စေတုတ္ထရာ	Saytoketaya
Saytoketaya	-	 	Tapwin
Seikpyu	04252	 	Chintaungy
Seikpyu	-	 	Kansoonma
Seikpyu	04251	ဆိပ်ဖြူ	Seikpyu
Sinpaungwe'	-	 	Eakayit
Sinpaungwe'	04082	 	Koebin
Sinpaungwe'	04081	ဆင်ပေါင်ဝဲ	Sinpaungwe
Sinpaungwe'	-	 	Zaunchantaung
Taungtwingyi	04144	 	Chaungnet
Taungtwingyi	-	 	Kokkogone
Taungtwingyi	04143	 	Kokkogwa
Taungtwingyi	-	 	Paratkyal
Taungtwingyi	04142	 	Sattwar
Taungtwingyi	04141	တောင်တွင်းကြီး	Taungtwingyi
Thayet	04091	သရက်	Thayet
Thayet	04092	 	Thayet Zay
Thayet	-	 	Yemyet
Yenanchaung	-	 	Beseik
Yenanchaung	-	 	Inntaw
Yenanchaung	-	 	Kyaukmasin
Yenanchaung	-	 	Kyaukye'
Yenanchaung	04162	 	Lathmatkone
Yenanchaung	04163	 	Nyaunghla
Yenanchaung	-	 	Phokoe
Yenanchaung	04164	 	Pinwa
Yenanchaung	-	 	Thaputsu
Yenanchaung	-	 	Thonezechauk
Yenanchaung	-	 	Wetlut
Yenanchaung	04161	ရေနံချောင်း	Yenanchaung
Yenanchaung	-	 	Yinmachaung
Yezakyo	-	 	Fullon
Yezakyo	-	 	Koyinywa
Yezakyo	04183	 	Kyetsukyin
