Mandalay Region Postal Codes / Zip codes, Myanmar.
မန္တလေးတိုင်းဒေသကြီး စာပို့ သင်္ကေတများ
Mandalay is the capital of the 3rd Myanmar Empire, based at the food of the Mandalay Hill. The world reknown Mandalay Bay Casino in Las Vegas was named after this city, and it has been a trading hub in the region for centuries.

Township 	Postal
Code	 	Towns
Amarapura 	05061	အမရပူရ	Amarapura 
Amarapura 	05064	 	Boneoh 
Amarapura 	- 	 	Dakhontaing 
Amarapura 	05062	 	Myitnge 
Amarapura 	05063	 	Yadanarpon University 
Aungmyaethazan	05011	အောင်မြေသာစံ	Mandalay (GPO) 
Aungmyaethazan 	05015	 	Eaindawya 
Aungmyaethazan 	05014	 	Man (Ashaepyin) 
Aungmyaethazan 	05013	 	Man (myaukpyin) 
Aungmyaethazan 	05012	 	Mandalay Nantwin 
Chanayethazan 	05022	ချမ်းအေးသာစံ	Man(West) 
Chanayethazan 	05024	 	Mandalay Railway Station 
Chanayethazan 	05021	 	Yonegyi 
Chanayethazan 	05023	 	Zaycho 
Chanmyathazi 	05041	ချမ်းမြသာစည်	Chanmyathazi 
Kyaukpadaung 	- 	ကျောက်ပန်းတောင်း	Kanni 
Kyaukpadaung 	- 	 	Kanphyu 
Kyaukpadaung 	05241	 	Kyaukpadaung 
Kyaukpadaung 	- 	 	Latpanpyar 
Kyaukpadaung 	- 	 	Mankyintaing 
Kyaukpadaung 	- 	 	Nyaungto 
Kyaukpadaung 	05242	 	Popa 
Kyaukse 	05143	ကျောက်ဆည်	Bellin 
Kyaukse 	05151	 	Kyaukse 
Kyaukse 	- 	 	Minsu 
Kyaukse 	05152	 	Thanywa 
Kyaukse 	- 	 	Theinnikan 
Madaya 	05121	မတ္တရာ	Madaya 
Madaya 	- 	 	Yenantha 
Mahaaungmyae 	05033	မဟာအောင်မြေ	Kungyan 
Mahaaungmyae 	05032	 	Mandalay (University) 
Mahaaungmyae 	05031	 	Shanzu 
Mahlaing 	- 	မလှိုင်	Hnawkan 
Mahlaing 	05201	 	Mahlaing 
Mahlaing 	- 	 	Monepin 
Mahlaing 	- 	 	Panaing 
Mahlaing 	- 	 	Saeto 
Meikhtila 	- 	မိတ္ထီလာ	Ahleywa 
Meikhtila 	- 	 	Hmontaing 
Meikhtila 	05186	 	Kantaung 
Meikhtila 	05182	 	Meikhtila Cantonment 
Meikhtila 	05181	 	Meikhtila 
Meikhtila 	05183	 	Meikhtila(BaSaKa) 
Meikhtila 	- 	 	Pintalae' 
Meikhtila 	05185	 	Shanmange 
Meikhtila 	05184	 	Shante 
Meikhtila 	- 	 	Tawma 
Meikhtila 	- 	 	Yecho 
Mogoke 	05092	မိုးကုတ်	Kyatpyin 
Mogoke 	05091	 	Mogoke 
Myingyan 	- 	မြင်းခြံ	Damike 
Myingyan 	- 	 	Htanaungtaing 
Myingyan 	- 	 	Kyawzi 
Myingyan 	05252	 	Myingyan Myoma 
Myingyan 	05251	 	Myingyan 
Myingyan 	05253	 	Semekhone 
Myingyan 	- 	 	Talote 
Myitthar 	- 	မြစ်သား	Dayaegaung 
Myitthar 	05162	 	Kume 
Myitthar 	05161	 	Myitthar 
Myitthar 	- 	 	Shwetaung 
Myitthar 	- 	 	Thapyaytaung 
Nahtoegyi 	05261	နွားထိုးကြီး	Nahtoegyi 
Nahtoogyi 	05262	 	Pyinsi 
Nahtoogyi 	- 	 	Wetloo 
Ngazune 	05282	ငါန်းဇွန်	Myotha 
Ngazune 	05281	 	Ngazune 
NyaungOo 	05232	ညောင်ဦး	Bagan 
NyaungOo 	05236	 	Latpanchaypaw 
NyaungOo 	- 	 	Myinkapa 
NyaungOo 	05234	 	Ngathayouk 
NyaungOo 	05231	 	NyaungOo 
NyaungOo 	05233	 	Singu 
NyaungOo 	- 	 	Tatma 
NyaungOo 	05235	 	Taungzinn 
Nyaungwun 	- 	 	Kyauktalone 
Nyaungwun 	- 	 	Minnaykone 
Nyaungwun 	05283	 	Nganhmargyi 
Patheingyi 	05073	ပုသိမ်ကြီး	Htonbo 
Patheingyi 	05072	 	MTU 
Patheingyi 	05071	 	Patheingyi 
Pyawbwe 	05211	ပျော်ဘွယ်	Pyawbwe 
Pyawbwe 	- 	 	Shwedar 
Pyawbwe 	05212	 	Yanaung 
Pyawbwe 	- 	 	Yintaw 
Pyaygyidakhon 	05051	ပြည်ကြီးတံခွန်	Pyaygyidakhon 
Pyaygyidakhon 	05052	 	Sathmutmyothit 
PyinOoLwin 	05085	ပြင်ဦးလွင်	Ahneesakhan 
PyinOoLwin 	05083	 	CSTC 
PyinOoLwin 	05084	 	Padaythamyothit 
PyinOoLwin 	05081	 	PyinOoLwin 
PyinOoLwin 	05082	 	PyinOoLwinCantonment 
PyinOoLwin 	05086	 	Wetwun 
Singu 	05112	 	Latpanhla 
Sintgu 	05113	 	Htonegyi 
Sintgu 	- 	 	Ngareainhtaung 
Sintgu 	- 	 	Saethe 
Sintgu 	05111	 	Sintgu 
Sintgu 	- 	 	Theinn 
Sintkaing 	05142	စဉ့်ကိုင်	Paleik 
Sintkaing 	05141	 	Sintkaing 
Tadau 	- 	တံတားဦး	Chaungkwa 
Tadau 	- 	 	Gwaykone 
Tadau 	05131	 	Tadau 
Tadau 	- 	 	Tanpae 
