Mon State Postal Codes / Zipcodes, Myanmar
မွန်ပြည်နယ် စာပို့သင်္ကေတများ 
Mon State and Mon culture attracts a lot of natives in the country. The port city of Martavan was known to Europe and Arab world for its pottery and tropical goods.

Township 	Postal Code	မြို့နယ်	Towns
Beelin 	12031	ဘီးလင်း	Beelin 
Beelin 	- 	 	Hninpale 
Beelin 	12032	 	Taungzon 
Chaungsone 	12061	ချောင်းဆုံ	Chaungsone 
Chaungsone 	12063	 	Kalwi 
Chaungsone 	12064	 	Muyitkalay 
Chaungsone 	12062	 	Ywalut 
Kyaikhto 	12021	ကျိုက်ထို	Kyaikhto 
Kyaikhto 	12022	 	Theinzayet 
Kyaikmaraw 	12071	ကျိုက်မရော	Kyaikmaraw 
Kyaikmaraw 	12072	 	Nyaungbinseik 
Kyeikhto 	- 	ကျိုက်ထို	Boyagyi 
Kyeikhto 	- 	 	Kinmonechaung 
Kyeikhto 	12024	 	Kyeikhteeyoyinpyin 
Kyeikhto 	12027	 	Kyeikkatha 
Kyeikhto 	12025	 	Mayangone 
Kyeikhto 	12023	 	Mokepalin 
Kyeikhto 	12026	 	Sittaung 
Kyeikmayaw 	12074	ကျိုက်မရော	Chaungnagwa 
Kyeikmayaw 	- 	 	Ngapyayma 
Kyeikmayaw 	- 	 	Painhegone 
Kyeikmayaw 	12073	 	Tayanar 
Mawlamyaing 	12014	မော်လမြိုင်	Daingwunkwin 
Mawlamyaing 	12015	 	Daweizu 
Mawlamyaing 	12018	 	Kadoe 
Mawlamyaing 	12012	 	Mawlamyaing University 
Mawlamyaing 	12011	 	Mawlamyaing 
Mawlamyaing 	12013	 	Mupon 
Mawlamyaing 	12016	 	Myaingthaya 
Mawlamyaing 	12017	 	Zayyathiri 
Mudon 	12083	မုဒုံ	Hpaout    
Mudon 	12085	 	Kaloutthaut 
Mudon 	12084	 	Kamawet 
Mudon 	12081	 	Mudon 
Mudon 	12082	 	Nattaung 
Mudon 	- 	 	Tagontaing 
Paung 	12056	ပေါင်	Ahhlat 
Paung 	- 	 	Katon 
Paung 	12055	 	Kywechan 
Paung 	12052	 	Mottama 
Paung 	12051	 	Paung 
Paung 	- 	 	Thegone 
Paung 	12054	 	Yinnyein 
Paung 	12053	 	Zinkyeik 
Thahton 	- 	သထုံ	Naungkala 
Thahton 	- 	 	Painhnetaw 
Thahton 	12041	 	Thahton 
Thahton 	12042	 	Theinseik 
Thahton 	12043	 	Thutdamawaddy 
Thanbyuzayet 	- 	သံဖြူဇရပ်	Ahnin 
Thanbyuzayet 	- 	 	Kayokepi 
Thanbyuzayet 	12095	 	Kyonkadat 
Thanbyuzayet 	12094	 	Panga 
Thanbyuzayet 	12091	 	Thanpyuzayet 
Thanbyuzayet 	12093	 	Wegali 
Thanbyuzayet  	12092	 	Kyaikkhame 
Ye 	12103	ရေး	Ahsin 
Ye 	12105	 	Hnitkayin 
Ye 	12104	 	Khawza 
Ye 	12106	 	Kyaungywa 
Ye 	12102	 	Lamine 
Ye 	- 	 	Taungbon 
Ye 	12101	 	Ye 
Ye 	- 	 	Zephyuthaung 
