Rakhine State Postal Codes / Zipcodes, Myanmar
ရခိုင်ပြည်နယ် စာတိုက် သင်္ကေတ နံပါတ်များ
Rakhine State has been famous for its beautiful beaches, as well as problems caused by the neighboring Bangladesh.

Township 	Postal Code	 မြို့နယ်	Name of City/Town
Ann 	07151	အမ်း	Ann 
Ann 	07152	 	Tattaung 
Buthidaung 	07031	ဘူးသီးတောင်	Buthidaung 
Buthidaung 	07033	 	Ponnyolate 
Buthidaung 	07034	 	Kahtila 
Buthidaung 	07035	 	Kyauksating 
Buthidaung 	07036	 	Tharaphe 
Buthidaung 	07037	 	Nyaungchaung 
Gwa 	07181	ဂွ	Gwa 
Gwa 	07182	 	Kyeintali 
Gwa 	07183	 	Sattwar 
Gwa 	07184	 	Kanthaya 
Gwa 	- 	 	Taungpauk 
Kyaukphyu 	07121	ကျောက်ဖြူ	Kyaukphyu 
Kyaukphyu 	07122	 	Sanae' 
Kyaukphyu 	07123	 	Zinchaung 
Kyauktaw 	07061	ကျောက်တော်	Kyauktaw 
Kyauktaw 	07062	 	Apaukwa 
Kyauktaw 	07063	 	Kansouth 
Kyauktaw 	- 	 	Thayettabin 
Mamaung 	07142	မာန်အောင်	Thitpon 
Mamaung 	- 	 	Kamar 
Mamaung 	- 	 	Kyauktan 
Manaung 	07141	မာန်အောင်	Mamaung 
Maungdaw 	07021	မောင်တော	Maungdaw 
Maungdaw 	07192	 	Kyainchaung 
Maungdaw 	07022	 	Ngakhuya 
Maungdaw 	07191	 	Taungpyowae' 
Maungdaw 	07023	 	Ahlaethankyaw 
Maungdaw 	07024	 	Aungthapyay 
Maungdaw 	07025	 	Yemyettaung 
Maungdaw 	07026	 	Kyaukpantu 
Maungdaw 	07027	 	Minkhamaung 
Maungdaw 	07028	 	Mingalarnyunt 
Maungdaw 	07029	 	Mingalargyi 
Maungdaw 	07193	 	Tamanthar 
Maungdaw 	07194	 	Kintaung 
Minbya 	07091	မင်းပြား	Minbya 
Minbya 	07094	 	Kanni 
MyaukOo 	07101	မြောက်ဦး	MyaukOo 
MyaukOo 	07102	 	Tainnyo 
MyaukOo 	07092	 	Myaungbwe 
MyaukOo 	- 	 	Pyartae' 
Myebon 	- 	မြေပုံ	Kandaunggyi 
Myepon 	07111	မြေပုံ	Myepon 
Paletwa 	07071	ပလက်ဝ	Paletwa 
Paletwa 	- 	 	Daletmay 
Paletwa 	- 	 	Thamain 
Panmyaung 	07093	 	Panmyaung 
Pauktaw 	07081	ပေါက်တော	Pauktaw 
Ponnagyun 	07051	ပုဏ္ဏားကျွန်း	Ponnagyun 
Ponnagyun 	07052	 	Yotayoke 
Ponnagyun 	07053	 	Thetat 
Ponnagyun 	07054	 	Poesheepyin 
Rambree 	07131	ရမ်းဗြဲ	Rambree 
Rambree 	07132	 	Kyauknimaw 
Rambree 	- 	 	Thayetcho 
Rathedaung 	07041	ရသေ့တောင်	Rathedaung 
Rathedaung 	07032	 	Zaydipyin 
Rathedaung 	07042	 	Ahngumaw 
Rathedaung 	- 	 	Laungchaung 
Rathedaung 	- 	 	Kutaung 
Sittwe 	07011	စစ်တွေ	Sittwe 
Sittwe 	07012	 	 Sittwe Cantoment 
Sittwe 	07014	 	Mingan 
Sittwe 	07013	 	Rupa 
Sittwe 	07015	 	Thatkaypyin 
Sittwe 	- 	 	Yaechanpyin 
Sittwe 	- 	 	Ahmyintkyun 
Sittwe 	- 	 	Wahbo 
Taunggoke 	07161	တောင်ကုတ်	Taunggoke 
Taunggoke 	07162	 	Maei 
Taunggoke 	07163	 	Ywama 
Taunggoke 	07164	 	Lamu 
Thandway 	07172	သံတွဲ	Ngapali 
Thandway 	07173	 	Kinmaw 
Thandway 	07174	 	Pazunphay 
Thandway 	- 	 	Kalapyin 
Thandway 	- 	 	Kyaukgyi 
Thandway 	- 	 	Shwehlay 
Thandway 	- 	 	Thabyuchine 
Thantwe 	07171	 	Thantwe
