fShareTweetShareSave
Sagaing Region Postal Codes / Zip codes, Myanmar
စစ်ကိုင်းတိုင်း ဒေသကြီး စာပို့ သင်္ကေတ အမှတ် အများ
Shwebo in Sagaing Region was the birthplace of the Konbaung Dynasty of the Myanmar Empire. Sagaing also is a regional trade hub, for Myanmar exports to China and Inda, as well as imports from these countries pass through this state.

Township 	Postal Code	မြို့နယ်	Town
Ahyadaw 	02291	အရာတော်	Ahyadaw 
Banmauk 	02131	ဗန်းမောက်	Banmauk 
Budalin 	02271	ဘုတလင်	Budalin 
Chaung U 	02331	ချောင်းဦး	Chaung U 
Depeyin 	02251	ဒီပဲယင်း	Depeyin 
Homalin 	02051	 	Homalin 
Homelain 	- 	ဟုမ္မလင်း	Kawyar 
Indaw 	02141	အင်းတော်	Indaw 
Inntaw 	02142	 	Mawluu 
Kale 	02093	ကလေး	Natchaung 
Kalemyo 	02091	 	Kalemyo 
Kalewa 	02101	ကလေးဝ	Kalewa 
Kani 	02121	ကနီ	Kani 
Kantbalu 	02211	ကန့်ဘလူ	Kantbalu 
Katha 	02151	ကသာ	Katha 
Kawlin 	02181	ကောလင်း	Kawlin 
Khantee 	02011	ခန္တီး	Nanyun 
Khin U 	02231	ခင်ဦး	Khin U 
Kyunhla 	02201	ကျွန်းလှ	Kyunhla 
Laheir 	02022	လဟယ်	Htanparkhwe 
Layshee 	02142	လေရှီး	Mowinelute 
Mawlaik 	02081	မော်လိုက်	Mawlaik 
Mingin 	02112	မင်းကင်း	Kyarpin 
Minkin 	02111	 	Minkin 
Monywa 	02301	မုံရွာ	Monywa 
Myaung 	02381	မြောင်	Myaung 
Myinmu 	02341	မြင်းမူ	Myinmu 
Nanyun 	02012	နန်းယွန်း	Pansaug 
Pale 	02351	ပုလဲ	Pale 
Phaungpyin 	02061	ဖောင်းပြင်	Phaungpyin 
Pinlebu 	02161	ပင်လည်ဘူး	Pinlebu 
Pinleibu 	- 	 	Myaelin 
Sagaing 	02371	စစ်ကိုင်း	Sagaing 
Salingyi 	02321	ဆားလင်းကြီး	Salingyi 
Sarlingyi 	- 	 	Kyartet 
Shwebo 	02261	ရွှေဘို	Shwebo 
Tamu 	02071	တမူး	Tamu 
Taze 	02221	တန့်ဆည်	Taze 
Tigyaing 	02191	ထီးချိုင့်	Tigyaing 
Wetlet 	02281	ဝက်လက်	Wetlet 
Wuntho 	02171	ဝန်းသို	Wuntho 
Ye U 	- 	ရေဦး	Tamartaw 
Yeu 	02241	 	Yeu 
Yinmabin 	02311	ယင်းမာပင်	Yinmabin 
Ahyadaw 	- 	 	Naunggyiaine 
Ahyadaw 	- 	 	Minywa 
Budalin 	- 	 	Maunghtaung 
Chaung U 	02332	 	Khinmon 
Depeyin 	- 	 	Saipyingyi 
Depeyin 	- 	 	Tintainyan 
Homalin 	02052	 	Htamanthi 
Homalin 	02053	 	Naungpoaung 
Homelain 	- 	 	Maungkham 
Homelain 	- 	 	Naungsankyin 
Homelain 	- 	 	Nanttaw 
