Shan State Postal Codes / Zipcodes. Myanmar
ရှမ်းပြည်နယ် စာပို့သင်္ကေတများ
Shan State locates on the Shan plateau, with lots of mountaineous tribes. Shan State is famous over the world for beauty of Inle Lake and the Golden Triangle.

Township	Postal Code	 မြို့နယ်	Towns
Aik Chan (Ai' Chun)	 	အိုက်ချန်	 
Chinshwehaw	06482	ချင်းရွှေဟော်မြို့နယ်ခွဲ	Chinshwehaw
Hkun Mar (Hkwin Ma)	 	ခွန်းမား	 
Ho Tawng (Ho Tao)	 	ဟိုတောင်း	 
Homain	06202	 	Homain
Hopan	06391	ဟိုပန်	Hopan
Hopan	06392	 	Minepauk
Hopan	06393	 	Mineyang
Hopone	06093	 	Hotaung
Hopone	06091	ဟိုပုံး	Nanttit
Hopone	06092	 	Seloo
Hsawng Hpa (Saun Pha)	 	ဆောင်ဖ	 
Hseni	 	သိန္နီ	 
Inndaw	06073	 	Panlone
Ka Lawng Hpar	 	ကလောင်ဖါ	 
Kalaw	06022	ကလော	Hopone
Kalaw	06025	 	Mankyeepin
Kalaw	06024	 	Minewa
Kalaw	06023	 	Mineyaung
Kalaw	06021	 	Mineyel
Kalaw	-	 	Mineyu
Karli	06213	 	Kyaukkacha
Khollan	06163	 	Kyauktan
Khonegyan	06531	ကုန်းကြမ်း	Inndaw
Konhein	06211	ကွန်ဟိန်း	Aungpan
Konhein	06212	 	Moemate
Konlon	06381	ကွမ်းလုံ	Bawsai
Kutkai	06374	ကွတ်ခိုင်	Heho
Kutkai	-	 	Kyugoke
Kutkai	06373	 	Manheiro
Kutkai	06372	 	Moenae'
Kutkai	06371	 	Monekoe
Kyainglatt	06273	ကောင်မင်ဆန်း	Kalaw
Kyainglatt	06274	 	Muse
Kyaingtaung	06172	 	Myindike
Kyaingtong	06234	 	Monewee
Kyaingtong	06233	 	Sellan
Kyaingtong	06231	ကျိုင်းတုံ	Wetpyuyae
Kyaukme	06321	ကျောက်မဲ	Karli
Kyaukme	06325	 	Kyarsakhan
Kyaukme	06323	 	Maingyin
Kyaukme	06322	 	Nankham
Kyauktalone	06016	 	Khollan
Kyaythee	06151	ကျေးသီး	Khonegyan
Kyaythee	06153	 	Mansan
Laecha	06121	လဲချား	Konhein
Lashio	-	 	Bantbway
Lashio	06304	 	Bawtwin
Lashio	06302	 	Manaung
Lashio	06303	 	Mineseike
Lashio	-	 	Nantmatu
Lashio	-	 	Nantsan
Lashio	-	 	Nantsan
Lashio	06301	လားရှိုး	Tarkaw
Lashio	-	 	Wyainkaung
Laukkaing	06481	လောက်ကိုင်	Konlon
Lin Haw	 	လင်ဟော်	 
Linkhe	06191	လင်းခေး	Kaungkhar
Loilen	 	လွိုင်လင်	 
Loilin	06112	 	Kangyi
Loilin	06111	 	Kutkai
Long Htan	 	လုံထန်	 
Mabain	06451	မဘိမ်း	Manpyain
Manton	06541	မန်တုံ	Nantphatka
Maukmai	06181	 	Mainglone
Maukmai	06182	မောက်မယ်	Tamoehnye
Minekai	06131	မိုင်းကိုင်	Kyainglatt
Minekhat	06471	မိုင်းခတ်	Wanpon
Minekhote	06282	 	Kyaingtaung(Tonhone)
Minelar	06232	မိုင်းလား	Kyaingtong
