Tanintharyi Region Postal Codes / Zip codes, Myanmar
တနင်္သာရီတိုင်း စာပို့သင်္ကေတ အမှတ်များ 
Tannintharyi is famous of its long coastal line, a thousand islands, prestine beaches, and its sea food. Lifestyle of people in Thanintharyi is pretty much influenced by neighboring Thailand's culture and traditions.

Township 	Post Code 	မြို့နယ်	Name 
Bokpyin 	14081	ဘုတ်ပြင်း	Bokpyin 
Bokpyin 	- 	 	Chaungkaphee 
Bokpyin 	14082	 	Karathuri 
Bokpyin 	14083	 	Pyigyimandaing 
Dawei 	14014	 	Dawei Cantonment 
Dawei 	14011	ထားဝယ်	Dawei 
Dawei 	14013	 	Heinda 
Dawei 	14012	 	Kyaukmetaung 
Dawei 	14016	 	Maungmalshaung 
Dawei 	14015	 	Myittar 
Dawei 	- 	 	Pakargyi 
Kawthaung 	- 	 	Aungbar 
Kawthaung 	14092	 	Kawthaung Cantonment 
Kawthaung 	14091	ကော့သောင်း	Kawthaung 
Kawthaung 	14093	 	Khamoukgyi 
Kawthaung 	- 	 	Malione 
Kawthaung 	- 	 	Zardatgyi 
Kyunzu 	14101	ကျွန်းစု	Kyunzu 
Launglone 	14043	 	Dawei University 
Launglone 	- 	 	Innsouth 
Launglone 	14044	 	Kyauknimaw 
Launglone 	14041	 	Launglone 
Launglone 	14042	လောင်းလုံး	Maungmagun 
Launglone 	14045	 	Thakyettaw 
Launglone 	- 	 	Thapyayshaung 
Launglone 	14046	 	Yephyu-Lower 
Myeik 	- 	 	Dawkyaeywa 
Myeik 	14053	 	Myeik Cantonment 
Myeik 	14054	 	Myeik Myotthit 
Myeik 	14052	 	Myeik University 
Myeik 	14051	မြိတ်	Myeik 
Myeik 	14055	 	Thamoke 
Palaw 	14062	ပုလော	Palaw 
Pulaw 	14062	 	Pala 
Pulaw 	14064	 	Paloug 
Pulaw 	14063	 	Shatpon 
Tanintharyi 	- 	 	Nyaungbinkwin 
Tanintharyi 	14071	တနင်္သာရီ	Tanintharyi 
Thayetchaung 	14032	 	Nyaungzin 
Thayetchaung 	- 	 	Pae'dat 
Thayetchaung 	- 	 	Shinmotehtee 
Thayetchaung 	14031	သရက်ချောင်း	Thayetchaung 
Thayetchaung 	14033	 	YaNge' 
Yephyu 	14023	 	Kaleinaung 
Yephyu 	14022	 	Kanbauk 
Yephyu 	- 	 	Nabulal 
Yephyu 	- 	 	Natgyisin 
Yephyu 	14024	 	Pagawzun 
Yephyu 	- 	 	Raphu 
Yephyu 	14021	ရေဖြူ	Yephyu 
